Product_name;glycerin;sodiumhyaluronate;centellaasiaticaextract;squalane;gluconolactone;sodiumlactate;salicylicacid;niacinamide;ceramide;chamomillarecutitaflowerextract;camelliasinensisleafextract;glycyrrhizaglabrarootextract;betaine;polygonumcuspidatumroo extract;allantoin;butyleneglycol;titaniumdioxide;alcoholdenat;carbomer;sodiumpolyacrylate;caprylylglycol;ethylhexylglycerin;octocrylene;coco_caprylate/caprate;cetearylalcohol;cocosnuciferaoil;retinol;hydrolyzedcollagen;madecassoside;tocopherol;phyticacid;maltodextrin;dipropyleneglycol;tromethamine;biosaccharid gum1;caffeine;rosacaninafruitextract;menthol;peg60hydrogenatedcastoroil;dimethicone;rosmarinusofficinalisleafoil;triacetin;dexpanthenol;zincpca;cynarascolymusleafextract;cholesterol;peptides;snailSecretionFiltrate;ascorbicacid;comedogenicity
RNW DER. CLEAR AHA BHA PHA Peeling Mask;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RNW DER. CONCENTRATE Ceramide Plus;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
LA ROCHE-POSAY EFFACLAR Í Iso-Biome;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
LA ROCHE-POSAY EFFACLAR ULTRA DUO(+);0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
COSRX Snail 96;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
COSRX BHA Blackhead Power Liquid;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
YADAH OH MY SUN SCREEN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
DON'T TOUCH MY SKIN RETINOL;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CLARINS My Clarins;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BENTON Air Fit UV Defense Sun Cream SPF 50+ PA++++;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
